Year,Model,Price,Exterior_Color,Drivetrain,Fuel_Type,Engine,Mileage,Seller_Type
2023,CR-V EX,"$34,250 ",White,AWD,Gasoline,1.5L,10,Dealer
2023,CR-V EX,"$34,250 ",White,AWD,Gasoline,1.5L,0,Dealer
2017,Civic Touring,"$19,117 ",Red,FWD,Gasoline,1.5L,74843,Dealer
2017,CR-V EX-L,"$24,991 ",Silver,FWD,Gasoline,1.5L,57981,Dealer
2018,Accord Touring,"$27,522 ",Silver,FWD,Gasoline,1.5L,14864,Dealer
2019,CR-V EX-L,"$20,599 ",Black,FWD,Gasoline,1.5L,119781,Dealer
2019,Accord LX,"$24,582 ",Silver,FWD,Gasoline,1.5L,36416,Dealer
2019,Civic EX,"$22,998 ",White,FWD,Gasoline,1.5L,19300,Dealer
2020,Accord EX-L 1.5T,"$25,998 ",Black,FWD,Gasoline,1.5L,42402,Dealer
2020,Accord EX 1.5T,"$27,499 ",Blue,FWD,Gasoline,1.5L,24678,Dealer
2020,Civic EX,"$28,998 ",Silver,FWD,Gasoline,1.5L,41540,Dealer
2021,CR-V EX-L,"$30,488 ",Black,FWD,Gasoline,1.5L,24323,Dealer
2022,CR-V EX,"$30,555 ",Black,FWD,Gasoline,1.5L,0,Dealer
2022,Accord Sport,"$30,470 ",Black,FWD,Gasoline,1.5L,10,Dealer
2022,Accord Sport,"$30,470 ",Black,FWD,Gasoline,1.5L,10,Dealer
2022,Civic Sport Touring,"$31,145 ",Silver,FWD,Gasoline,1.5L,0,Dealer
2022,Accord Sport SE,"$29,998 ",Silver,FWD,Gasoline,1.5L,1695,Dealer
2022,Accord Sport,"$30,470 ",White,FWD,Gasoline,1.5L,10,Dealer
2023,Civic EX-L,"$29,240 ",Blue,FWD,Gasoline,1.5L,3,Dealer
2023,Accord EX,"$30,705 ",Blue,FWD,Gasoline,1.5L,0,Dealer
2023,Accord EX,"$30,705 ",Silver,FWD,Gasoline,1.5L,10,Dealer
2023,Accord EX,"$30,705 ",Silver,FWD,Gasoline,1.5L,0,Dealer
2023,Accord LX,"$28,845 ",White,FWD,Gasoline,1.5L,0,Dealer
